question;created_at
Wie kann ich lernen, meine eigenen Witze zu machen?;2023-10-15 11:45
Ich bin mir nicht sicher, ob meine Rechnung zu hoch ist, kann das stimmen?;2023-10-04 07:55
Wasserzähler kaputt? Ersatz oder wie prüfen lassen?;2023-10-09 14:50
Ich erwarte eine sofortige Antwort! Seit Wochen passiert hier nichts!;2023-10-09 14:50
Wie kann es sein, dass meine Rechnung sich verdoppelt hat? Das ist nicht akzeptabel!;2023-10-07 09:45
Bitte aktualisiert meine Adresse für die Rechnungen. Ziehe um.;2023-10-09 09:10
Warum sind Katzen so seltsam? 🐱;2023-10-02 11:32
Wie sieht ein perfekter Samstag für dich aus?;2023-10-09 09:10
Ich suche nach dem besten Rezept für Lasagne, bitte!;2023-10-01 14:23
Ich bin absolut enttäuscht von eurem Kundenservice!;2023-10-11 15:45
Beenden Sie meinen Vertragg, wann möglcih.;2023-10-06 08:25
Yo, letzte Rechnung war way too high, könnt ihr das checken?;2023-10-11 15:45
Hast du Tipps für eine gute Zeitplanung?;2023-10-14 12:20
Ich frage mich, ob ich auf einen flexiblen Tarif wechseln sollte? Bin nicht sicher…;2023-10-15 08:50
Woe schau ich Jahresverbrauch? Online?;2023-10-12 08:30
Hallo?! Das ist jetzt echt der letzte Versuch – Kündigt meinen Tarif und zwar sofort!;2023-10-12 12:10
Ablesetermin für Zähler, wann ist das nächste?;2023-10-10 13:20
Muss ich beim Umzug den Vertrag neu anmelden? Oder geht das automatisch?;2023-10-03 13:40
Soll das ein Witz sein? Schon wieder Abrechnungsfehler!;2023-10-05 09:00
Yo, drop mir mal bitte ne Kopie meiner letzten Rechnung 📄;2023-10-03 13:40
Kann ich vielleicht meine Abschlagszahlung anpassen, wenn die Rechnung zu hoch ist?;2023-10-08 13:30
Echt jetzt, schon wieder der gleiche Mist mit den Abschlägen? Bringt das endlich in Ordnung.;2023-10-04 07:55
Gibs ne App fur Energie uberwachung?;2023-10-04 12:10
Hey, könnt ihr meinen Tarif für nächstes Jahr anpassen? Denke, ich brauche was Günstigeres.;2023-10-01 09:12
Warum bekommt ihr das mit den Zählerablesungen nie auf die Reihe?;2023-10-11 11:35
Bin mir unsicher, ob ich den Zählerstand selber melden muss oder nicht…;2023-10-14 12:20
Hey, bitte schickt mir alle Abrechnungen vom letzten Jahr. Brauch das für Unterlagen.;2020-10-15 8:50
Gas-Abschläge erhöhen, soll ich? Wie macht man das?;2023-10-05 09:00
Warum dauert das ewig? Schickt mir die Übersicht sofort – ist doch nicht so schwer.;2023-10-05 15:45
Ich wil wissen mein Waßer stand, wie schiken?;2023-10-05 15:45
Was denkst du über die neueste Staffel von Stranger Things?;2023-10-05 09:00
Kann ich meinen monatlichen Abschlag erhöhen?;2023-10-09 09:10
Ist meine Stromrechnung normal oder zu hoch? Fühlt sich irgendwie viel an…;2023-10-13 13:40
Kann ich den Stromvertrag für meine Ferienwohnung auf nen andern Tarif umstellen? Danke 🙌;2023-10-15 11:45
Was macht einen Film großartig? Deine Meinung?;2023-10-13 13:40
Gibt es spezielle Tarife für Rentner?;2023-10-06 08:25
Seit wann muss man hundertmal schreiben, bis mal was passiert? Bitte sofort Tarif auf Öko ändern!;2023-10-07 11:15
Soll ich den Vertrag kündigen oder erstmal pausieren? Was meint ihr?;2023-10-07 09:45
Lest ihr überhaupt, was ich schreibe? Wechselt meinen Tarif JETZT, sonst kündige ich!;2023-10-02 11:32
Ich möchte meinen Zählerstand übermitteln. Wie geht das?;2023-10-08 13:30
Mein Wasserverbrauch sehen, wo kann, äh, online oder wie?;2023-10-05 15:45
Könnt ihr mir die Infos für den Tarifwechsel an meine Mail senden? Danke!;2023-10-04 07:55
Einrichten, monatliche Zahlungen, für Wasserrechnung, wie geht das?;2023-10-02 11:32
Gibt es eine App zur Überwachung meines Energieverbrauchs?;2023-10-04 12:10
Jahresverbrauch sehen... wo finde ich das??;2023-10-12 08:30
Tarif, ich möchte ändern auf Ökostrom. Geht das?;2023-10-03 10:15
Wie funktioniert Zeitreisen in Filmen? Ich verstehe das nicht.;2023-10-10 13:20
Mein Jahresverbrauch, ich sehen will, wo finde ich das?;2023-10-12 08:30
Hey, keine Rechnung gekommen, könnt ihr die nochmal senden?;2023-10-15 08:50
Weiß nicht, ob ich einen Rabatt bekommen kann. Gibt es sowas?;2023-10-14 09:30
Immer noch keine Antwort? Bitte stellt meinen Tarif um, sonst such ich mir nen neuen Anbieter.;2023-10-11 15:45
Das kann doch nicht sein! Wieso gibt es keinen Kundenservice, der erreichbar ist?;2023-10-09 09:10
Ändern Strom vertrag für Zweitwohung auf bessrer Tariff pls.;2023-10-15 11:45
Waßerzähler ist kapputt oder so, pls prüfen.;2023-10-09 14:50
Ich habe schon zweimal angerufen, aber niemand hilft mir mit meinem Problem!;2023-10-01 14:23
Was sind die Merkmale eines guten Freundes?;2023-10-12 08:30
Lastschrift, das ändern, auf Konto? Also für Zahlungen.;2023-10-08 16:05
Ich bin mir nicht sicher, wie die Verbrauchsanzeige funktioniert. Ist das kompliziert?;2023-10-08 16:05
Wie und wo gebe ich den Zählerstand durch? Need help plz 😅;2023-10-08 13:30
Ich überlege, ein Instrument zu lernen. Was würdest du empfehlen?;2023-10-11 15:45
Bitte den Vertrag für mich canceln, wann es geht 🙏;2023-10-06 08:25
Förderung für Solar? Will wissen, ob das worth it ist ☀️;2023-10-07 09:45
Förderung für Solaranlagen wie beantrage ich sowas?;2023-10-07 09:45
Wie kann ich meinen Stromtarif ändern?;2023-10-01 09:12
Es ist unmöglich, jemanden bei euch ans Telefon zu bekommen! Ich will endlich Klarheit!;2023-10-08 16:05
Gibt es spezielle Tarife für Elektrofahrzeug-Besitzer?;2023-10-10 10:00
Giebts kundnenbonus progamm für stammkunde?;2023-10-13 13:40
Schon dreimal den Umzug gemeldet und trotzdem kommen die Rechnungen an die alte Adresse!;2023-10-06 14:20
Letzte Rechnung hoch, warum? Bitte prüfen oder was möglich.;2023-10-11 15:45
Wie kann ich den Wasserverbrauch in meiner Wohnung kontrollieren?;2023-10-05 15:45
Hey, kurze Frage: Bitte stellt meine Rechnungen auf monatlich um, Jahresabrechnung passt nicht mehr.;2023-10-08 16:05
Ich will sofort eine Erklärung für diese horrende Rechnung!;2023-10-03 13:40
Ich weiß nicht, ob ich den richtigen Zählerstand eingebe. Könnt ihr das für mich checken?;2023-10-02 11:32
Hab’s satt, macht das jetzt fertig. Kündigt und Bestätigung schicken. Sofort!;2023-10-13 13:40
Kann ich meinen Verbrauch monatlich statt jährlich zahlen?;2023-10-09 09:10
Ständig gibt es Probleme mit meinem Vertrag, langsam reicht es mir!;2023-10-15 08:50
Welches Land möchtest du unbedingt bereisen? 🌍;2023-10-06 08:25
Hey, bitte schickt mir die letzte Rechnung per PDF, hab die Mail nicht bekommen.;2023-10-02 08:45
Könnt ihr meinen Verbrauch mal analysieren? Will wissen, wo ich sparen kann.;2023-10-10 10:00
Bitte deaktiviert meinen bisherigen Abschlag, will das manuell überweisen.;2023-10-13 10:50
Ich frage mich, ob ich Ratenzahlung machen kann… oder wäre das kompliziert?;2023-10-13 10:50
Ich wil mein Storm vertrag künigen, wie geet das?;2023-10-01 09:12
Bekomme e-autos rabat oder nicht?;2023-10-10 10:00
Ich brauche Inspiration für ein neues Hobby, was macht Spaß?;2023-10-07 11:15
Wie mach ich Tarrifwechsel zu ökostorm? Kann nich finden.;2023-10-03 10:15
Kann ich auf Lastschrift wechseln? Safe?;2023-10-08 16:05
Könn meine Gass kosten erhöet werden, wie geht das?;2023-10-05 09:00
Also, für Gas will ich, glaube ich, auf den Öko-Tarif wechseln, oder so?;2023-10-01 14:23
Warum ist meine Rechnung schon wieder so hoch? Das kann doch nicht sein!;2023-10-01 09:12
Ich brauche, wie man den Vertrag kündigt, also, die Schritte?;2023-10-01 09:12
Was sind die besten Hacks für die tägliche Motivation?;2023-10-10 10:00
Termin für Installation Solar machen, wie geht? Brauche bald.;2023-10-07 11:15
Ich weiß nicht, ob ich meine Rechnung verstehe. Vielleicht könnt ihr das erklären?;2023-10-12 08:30
Wie schwer ist es, mir meine eigenen Abrechnungen zu schicken? Ich will alle von 2022 per Mail.;2023-10-06 14:20
Ich glaube, ich muss meinen Vertrag ändern… Wie geht das?;2023-10-01 09:12
Entzugsermächtigtung zurückziehn pls.;2023-10-13 10:50
Strom ist weg, wie melden, oder was tun?;2023-10-04 07:55
Könnt ihr den Termin zur Zählerablesung verschieben? Bin diese Woche nicht da.;2023-10-08 13:30
Könnt ihr mein Problem lösen, oder soll ich’s gleich an die Geschäftsleitung weitergeben?;2023-10-04 12:10
Bonusprogramm für Stammkunden, gibt’s das oder wie anmelden?;2023-10-13 13:40
Wie richte ich diese Abschlagszahlungen ein? Brauch Tutorial 😅;2023-10-02 11:32
Wenn ich ein Tier sein könnte, welches wäre das und warum?;2023-10-14 09:30
Hi! Könnt ihr bitte meine Zählerablesung fürs Quartal machen? Bin nicht zu Hause.;2023-10-01 14:23
Mein Nachbar meinte, sein Tarif ist günstiger… Sollte ich wechseln?;2023-10-11 15:45
Bitte meldet meinen Umzug an die neue Adresse. Muss bis Ende des Monats erledigt sein.;2023-10-04 12:10
Was muss ich tun, damit hier mal was passiert? Schickt die Abrechnung für dieses Jahr, und zwar jetzt.;2023-10-14 09:30
Rabatt gibt’s für E-Autos oder möglich?;2023-10-10 10:00
Schickt mir bitte ne Erinnerung, wenn die nächste Zählerablesung fällig ist.;2023-10-06 08:25
Reicht jetzt! Erledigt den Tarifwechsel endlich, wie oft muss ich das noch schreiben?;2023-10-05 09:00
Letzte rechnung viel zu hoch, pls prüfn!!!;2023-10-11 15:45
Das ist eine absolute Abzocke, was ihr hier macht!;2023-10-13 13:40
Wie kann ich meine Adresse für die Abrechnung ändern?;2023-10-06 14:20
Muss Zählestand meldn, aber wie?;2023-10-08 13:30
Solar instaliren: machen sie da termmin für mich?;2023-10-07 11:15
Warum dauert es ewig, bis mein Zählerstand aktualisiert wird?;2023-10-04 12:10
Muss ich meinen Zählerstand selber ablesen oder schickt ihr jmd?;2023-10-14 12:20
Warum schmeckt Schokolade so gut? 🍫;2023-10-12 12:10
Ich habe keine Ahnung, wann der Zählerstand zuletzt abgelesen wurde. Soll ich das wissen?;2023-10-09 14:50
Heyyy, könnt ihr meinen Tarif auf den grünen switchen? 🌱;2023-10-01 14:23
Schicken sie mir die lezte Rechung als kopie.;2023-10-03 13:40
Umzzug: Neue Addresse für Recnungen eintragen pls.;2023-10-02 08:45
Keine Rechnung bekommen, nochmal senden, bitte?;2023-10-15 08:50
Umgezogen, Adresse muss jetzt die neue sein, für Rechnungen.;2023-10-02 08:45
Yo, wie sehe ich meinen Wasserverbrauch? Online oder?;2023-10-05 15:45
Ich brauch keinen Einzug mehr, wie mach ich das rückgängig?;2023-10-13 10:50
Wil Verbrauchsmomitor aktiviren, wie geht das??;2023-10-11 11:35
Gibt es einen Rabatt für umweltfreundliche Heizoptionen?;2023-10-01 14:23
Wie melde ich einen Stromausfall in meiner Nachbarschaft?;2023-10-04 07:55
Wie kann es sein, dass ich seit Wochen auf eine Rückmeldung warte?;2023-10-02 11:32
Wie mache ich den besten Kaffee? ☕;2023-10-01 09:12
Strummausfall hier bei uns – hilfe?;2023-10-04 07:55
Brauche ein abbslags plan für Waßer.;2023-10-02 11:32
Gibt’s ein Bonus für Stammkunden oder nah?;2023-10-13 13:40
Rechnungadres ändern, machen sie das bittee?;2023-10-06 14:20
Kann ich den Tarif easy auf Ökostrom umstellen? Thx!;2023-10-03 10:15
Ich möchte meinen aktuellen Stromtarif wechseln, wie geht das?;2023-10-03 10:15
Warum wird mein Anliegen einfach ignoriert? Bitte umgehend den Abschlag anpassen!;2023-10-12 08:30
Wieso dauert das so lange? Schickt mir endlich die alten Rechnungen. Ich hab keinen Bock mehr.;2023-10-13 10:50
Förderung, gibt’s für Solaranlagen? Möchte Info, wie geht.;2023-10-07 09:45
So schwer ist das doch nicht. Will meine Rechnung als PDF – sofort schicken bitte.;2023-10-10 10:00
Das ist eine absolute Frechheit! Warum sind die Preise plötzlich so hoch?;2023-10-03 10:15
Lohnt sich ein Wechsel auf einen Jahrestarif wirklich? Bin unsicher.;2023-10-10 10:00
Bitte kündigt meinen alten Tarif zum Monatsende, hab was Neues gefunden.;2023-10-03 10:15
Es reicht mir langsam mit euren Fehlern in der Abrechnung!;2023-10-10 10:00
Vertrag kündigen bitte, wann geht es, also frühestmöglich.;2023-10-06 08:25
Hey, Tarifwechsel bitte asap, der alte wird langsam echt teuer.;2023-10-12 08:30
Könnte ich die Zeit zurückdrehen, um das Wochenende zu verlängern?;2023-10-09 14:50
Kann ich den Wasserverbrauch online überwachen?;2023-10-05 15:45
Ich frage mich, ob ich vielleicht einen Bonus verpasse? Gibt es sowas überhaupt?;2023-10-11 11:35
Wie kann ich meine Rechnung einsehen?;2023-10-03 13:40
Könntest du mir ein gutes Buch empfehlen?;2023-10-03 13:40
Verbrauchsmonitor, kann ich das aktivieren? Wo Anleitung?;2023-10-11 11:35
Wie hoch sind die Grundgebühren für Gas?;2023-10-05 09:00
Zählerstand mitteilen, wie das machen? Stromzähler.;2023-10-08 13:30
Wie ändere ich meine Zahlungsweise auf Lastschrift?;2023-10-08 16:05
Kann ich meinen Vertrag vorzeitig kündigen?;2023-10-06 08:25
Zählerstand selber ablesen, geht oder nicht?;2023-10-14 12:20
Sollte ich den Wasserzähler öfter prüfen? Oder ist das unnötig?;2023-10-12 12:10
Reicht jetzt! Will sofort jemand sprechen. Warteschleife ist ne Zumutung.;2023-10-10 13:20
Hey, schickt mir die Zugangsdaten für das Online-Portal nochmal. Hab’s verlegt.;2023-10-09 14:50
Könnt ihr mir mal erklären, warum der Zählerstand falsch ist? Schon wieder!;2023-10-08 13:30
Bitte schickt mir die Bestätigung zur Kündigung. Und zwar heute noch!;2023-10-09 09:10
Macht es Sinn, wenn ich meine Gas-Abschläge höher setze? 🤔;2023-10-05 09:00
Gibt es Rabatte für Elektrofahrzeug-Besitzer?;2023-10-10 10:00
Wann is der nächste Ablesetermin? Muss ich da sein?;2023-10-10 13:20
Yo, wie kann ich meinen Stromvertrag canceln? 🕴️;2023-10-01 09:12
Kann ich mir wirklich sicher sein, dass meine Daten aktuell sind? Hab das Gefühl, was fehlt…;2023-10-08 16:02
Wann kommt der lesetermien für mein gas Zäller?;2023-10-10 13:20
Wie ändere ich die Adresse für meine Abrechnung?;2023-10-06 14:20
Hallo? Bitte endlich meine Rechnungen digital umstellen. Langsam nervt’s.;2023-10-08 13:30
Wie oft muss ich noch schreiben, bis ihr mal antwortet? Gebt mir endlich die letzte Rechnung per Mail!;2023-10-03 10:15
Ich erwarte, dass mein Anliegen heute noch geklärt wird, sonst kündige ich!;2023-10-14 12:20
Hab’s schon tausendmal gesagt: Bitte kündigen und Bestätigung schicken. Wie schwer kann das sein?;2023-10-03 13:40
Wie melde ich meinen Umzug bei Ihnen an?;2023-10-02 08:45
Könnt ihr meine Zählerablesung automatisieren? Will nicht jedes Mal dran denken müssen.;2023-10-07 09:45
Was ist das verrückteste, was du je gegessen hast?;2023-10-15 08:50
Was ist der beste Weg, um ein Haustier zu adoptieren?;2023-10-08 13:30
Ist ein anderer Tarif vielleicht besser für mich? Keine Ahnung…;2023-10-05 09:00
Könnt ihr meinen Vertrag mal prüfen und mir die günstigsten Optionen zeigen?;2023-10-12 12:10
Wann erfolgt die nächste Zählerablesung?;2023-10-10 13:20
Warum muss ich das alles nochmal erklären? Schaltet mein verdammtes Konto auf Papier-Rechnung um!;2023-10-01 14:23
Kann man Ratenzahlung machen, wenn die Rechnung big ist?;2023-10-12 12:10
Bieten Sie Installationsdienste für Solaranlagen an?;2023-10-07 11:15
Ich möchte gerne meinen Stromtarif kündigen.;2023-10-01 09:12
Mein Wasserzähler ist defekt. Was soll ich tun?;2023-10-09 14:50
Neue Rechnungsadresse machen, umgezogen, jetzt die andere.;2023-10-06 14:20
Abrechnung monatlich statt jährlich, kann man das?;2023-10-09 09:10
Was ist der Unterschied zwischen Pizza und Flammkuchen?;2023-10-06 14:20
Sollte ich einen höheren Abschlag für Gas setzen? Bin nicht sicher, ob das sinnvoll ist.;2023-10-09 09:10
Ich brauche Ideen für ein Geburtstagsgeschenk für meinen Freund!;2023-10-05 15:45
Muss ich wirklich bei jeder Rechnung die Daten prüfen? Fühlt sich übertrieben an, oder?;2023-10-10 13:20
Wieso wurde mein Lastschriftverfahren einfach abgebucht, obwohl ich gekündigt habe?;2023-10-10 13:20
Ratenzahlung für große Rechnung, geht das einrichten?;2023-10-12 12:10
Rechnungsadresse updaten pls, bin umgezogen 🛣️;2023-10-06 14:20
Hi, bucht die Rechnung bitte erst nächste Woche ab. Hab noch ne Rückzahlung offen.;2023-10-15 08:50
Das ist jetzt das dritte Mal: Meldet meinen Umzug endlich an! Was läuft bei euch schief?;2023-10-07 09:45
Gibt es etwas, das ich übersehen habe für meinen Umzug? Bin mir unsicher…;2023-10-06 08:25
Bitte deaktiviert die Papier-Rechnungen. Will das alles nur noch digital haben.;2023-10-11 11:35
Ich glaube, mein Zähler könnte kaputt sein, aber bin mir nicht sicher…;2023-10-06 14:20
Kann ich eine monatliche Abschlagszahlung für meinen Wasserverbrauch einrichten?;2023-10-02 11:32
Wo kann ich meine letzten Rechnungen einsehen?;2023-10-03 13:40
Warum muss ich jedes Mal den gleichen Fehler melden? Kümmert euch endlich drum!;2023-10-12 08:30
Bieten Sie eine App für den Verbrauchsmonitor an?;2023-10-04 12:10
Warum bekomme ich keine Info zu den Preiserhöhungen? Das ist doch unverschämt!;2023-10-05 15:45
Wie viele Beschwerden muss ich noch einreichen, bis etwas passiert?;2023-10-15 11:45
Könnt ihr endlich reagieren? Ich will wissen, warum mein Abschlag so hoch ist. Aufklärung bitte!;2023-10-09 14:50
Wie melde ich meinen neuen Wohnsitz an?;2023-10-02 08:45
Water meter is probs broken 😬 – wie checkt ihr das?;2023-10-09 14:50
Schon wieder ein Fehler in der Abrechnung! Korrigiert das jetzt endlich!;2023-10-02 08:45
Bin mir nicht sicher, ob mein Tarif der günstigste ist… könnt ihr das prüfen?;2023-10-01 14:23
Was sind die Voraussetzungen für einen Förderantrag?;2023-10-07 09:45
Können wir monatlich abrechnen statt yearly? 🤞;2023-10-09 09:10
Seit Tagen keine Antwort auf meine E-Mail! Was ist da los bei euch?;2023-10-04 07:55
Kann ich meinen Vertrag pausieren? Bin ein paar Monate im Ausland.;2023-10-05 09:00
Bieten Sie Unterstützung bei der Installation einer Solaranlage?;2023-10-07 11:15
Ich kann mich nicht entscheiden, was ich zum Abendessen machen soll!;2023-10-13 10:50
Gibt’s ne App, mit der ich meine Energie tracken kann? 🔋📱;2023-10-04 12:10
Ich weiß nicht genau, wie ich meinen Wasserverbrauch finde. Könnt ihr mir da helfen?;2023-10-05 15:45
Sollte ich meinen Zählerstand melden oder macht ihr das?;2023-10-04 12:10
Wie kann ich meinen Gasvertrag auf einen anderen Tarif umstellen?;2023-10-01 14:23
Hey, passt meinen Stromverbrauch an meine neue Wohnung an, ist deutlich kleiner.;2023-10-14 09:30
Bitt eändern sie mein Gas traiff auf öko oder so änlich.;2023-10-01 14:23
Warum dauert das so lange?! Will nur ne einfache Erklärung zur Rechnung. Schickt mir sofort was.;2023-10-08 16:05
Wie viele Sterne gibt es am Himmel? 🌌;2023-10-03 10:15
Kein Rechnugn gekommen, bitte senden!;2023-10-15 08:50
Was mache ich, wenn mein Wasserzähler kaputt ist?;2023-10-09 14:50
Schickt mir bitte die Tarifoptionen für Ökostrom. Will ggf. wechseln.;2023-10-13 13:40
Einzugsermächtigung zurückziehen, brauche ich.;2023-10-13 10:50
Könnt ihr mir die Kündigungsfrist für meinen Vertrag schicken? Muss das wissen.;2023-10-11 15:45
Hast du Tipps, wie man besser im Stress umgeht?;2023-10-08 16:05
Woe find ich alte rechungen im Online portal?;2023-10-14 09:30
Kann ich ratenzhlung fur grosse rechnug kriegen?;2023-10-12 12:10
Welche Stromtarife bieten Sie für Haushalte an?;2023-10-03 10:15
Entweder ich krieg endlich ne Antwort, oder ich geh zur Konkurrenz. Stellt bitte den Abschlag um.;2023-10-14 12:20
Stromausfall, help! 🥲 Wohin kann ich das melden?;2023-10-04 07:55
Kann ich eine Abschlagszahlung für Wasser festlegen?;2023-10-02 11:32
Welche Fördermöglichkeiten bieten Sie für Solaranlagen an?;2023-10-07 09:45
Wann wird mein Zähler das nächste Mal abgelesen?;2023-10-10 13:20
Wenn ihr weiter meine Anfragen ignoriert, meld ich das ans Beschwerdezentrum. Kündigen bitte!;2023-10-11 11:35
Bitte schickt mir alle Abrechnungen nochmal, brauch das für die Steuer.;2023-10-07 11:15
Hallo, könnt ihr meine monatliche Abschlagszahlung um 10€ erhöhen?;2023-10-02 11:32
Sollte ich auf Ökostrom wechseln? Was denkt ihr?;2023-10-02 08:45
Hast du einen guten Film-Tipp für das Wochenende?;2023-10-02 08:45
Hey, wie geht das mit Ökostrom? Könnt ihr mich darauf umstellen?;2023-10-06 14:20
Letzte Rechnung brauche ich Kopie, könnten Sie?;2023-10-03 13:40
Wie schwer ist es, auf ne einfache Frage zu antworten? Korrigiert die Rechnung, ist doch nicht schwer.;2023-10-15 11:45
Was ist los mit dem Strom? Schon der zweite Ausfall diese Woche!;2023-10-02 08:45
Hi, bitte stellt mich auf den flexiblen Tarif um. Passt besser zu meinen Arbeitszeiten.;2023-10-10 13:20
Lastschrift einrichten zum zahlen, wie funktniert?;2023-10-08 16:05
Gibt’s so was wie nen Rabatt für E-Auto driver? ⚡🚗;2023-10-10 10:00
Vielleicht sollte ich die monatliche Rate erhöhen? Bin mir unsicher…;2023-10-03 10:15
Meine alten Rechnungen sehen, wo kann das sein?;2023-10-14 09:30
Warum wurde mein Abschlag erhöht, ohne dass ich informiert wurde?;2023-10-07 11:15
Könntest du mir einen Witz erzählen? 😂;2023-10-07 09:45
Wie aktiviere ich diesen Verbrauchsmonitor? Hab KP 🤯;2023-10-11 11:35
